nohup: ignoring input
 INFO  Accepting connections at http://localhost:3001
 HTTP  8/28/2025 11:21:59 AM ::1 GET /
 HTTP  8/28/2025 11:21:59 AM ::1 Returned 200 in 44 ms
 HTTP  8/28/2025 11:21:59 AM ::1 GET /static/css/main.93f86479.css
 HTTP  8/28/2025 11:21:59 AM ::1 GET /static/js/main.b74a7a8b.js
 HTTP  8/28/2025 11:21:59 AM ::1 Returned 200 in 8 ms
 HTTP  8/28/2025 11:21:59 AM ::1 Returned 200 in 14 ms
 HTTP  8/28/2025 11:21:59 AM ::1 GET /manifest.json
 HTTP  8/28/2025 11:21:59 AM ::1 Returned 200 in 2 ms
 HTTP  8/28/2025 11:21:59 AM ::1 GET /logo-white.png
 HTTP  8/28/2025 11:21:59 AM ::1 Returned 200 in 6 ms
 HTTP  8/28/2025 11:22:20 AM ::1 GET /login
 HTTP  8/28/2025 11:22:20 AM ::1 Returned 200 in 1 ms
 HTTP  8/28/2025 11:22:20 AM ::1 GET /static/css/main.93f86479.css
 HTTP  8/28/2025 11:22:20 AM ::1 GET /static/js/main.b74a7a8b.js
 HTTP  8/28/2025 11:22:20 AM ::1 Returned 200 in 1 ms
 HTTP  8/28/2025 11:22:20 AM ::1 Returned 200 in 1 ms
 HTTP  8/28/2025 11:22:20 AM ::1 GET /logo-white.png
 HTTP  8/28/2025 11:22:20 AM ::1 Returned 200 in 1 ms
 HTTP  8/28/2025 11:22:29 AM ::1 GET /
 HTTP  8/28/2025 11:22:29 AM ::1 Returned 200 in 0 ms
 HTTP  8/28/2025 11:22:29 AM ::1 GET /static/js/main.b74a7a8b.js
 HTTP  8/28/2025 11:22:29 AM ::1 Returned 304 in 1 ms
 HTTP  8/28/2025 11:22:29 AM ::1 GET /static/css/main.93f86479.css
 HTTP  8/28/2025 11:22:29 AM ::1 Returned 304 in 1 ms
